,DE_load_actual_entsoe_transparency
1364,64889.0
1365,62317.0
1366,59746.0
1367,55919.0
1368,52912.0
1369,51110.0
1370,49845.0
1371,49947.0
1372,51237.0
1373,53946.0
1374,60640.0
1375,65506.0
1376,67326.0
1377,67971.0
1378,68533.0
1379,68861.0
1380,68232.0
1381,67414.0
1382,65683.0
1383,65149.0
1384,64143.0
1385,64601.0
1386,66962.0
1387,66158.0
1388,62680.0
1389,59803.0
1390,57991.0
1391,54835.0
1392,52132.0
1393,50517.0
1394,49475.0
1395,49074.0
1396,48674.0
1397,48654.0
1398,49402.0
1399,51550.0
1400,54497.0
1401,56842.0
1402,58201.0
1403,58939.0
1404,58583.0
1405,56554.0
1406,55017.0
1407,54171.0
1408,53682.0
1409,54951.0
1410,58991.0
1411,58952.0
1412,56161.0
1413,54378.0
1414,53900.0
1415,51501.0
1416,48582.0
1417,46521.0
1418,45615.0
1419,45270.0
1420,45383.0
1421,45045.0
1422,44724.0
1423,45723.0
1424,48376.0
1425,52194.0
1426,54477.0
1427,56525.0
1428,56504.0
1429,54712.0
1430,53129.0
1431,52025.0
1432,51702.0
1433,53359.0
1434,57140.0
1435,57018.0
1436,55175.0
1437,53448.0
1438,53568.0
1439,50965.0
1440,48390.0
1441,47257.0
1442,46629.0
1443,47134.0
1444,49041.0
1445,52768.0
1446,60206.0
1447,64766.0
1448,66658.0
1449,67277.0
1450,68507.0
1451,69756.0
1452,69112.0
1453,68617.0
1454,67480.0
1455,67421.0
1456,66046.0
1457,66127.0
1458,68765.0
1459,68597.0
1460,64820.0
1461,62429.0
1462,60451.0
1463,56770.0
1464,54069.0
1465,52332.0
1466,51535.0
1467,51818.0
1468,52817.0
1469,55093.0
1470,61466.0
1471,65670.0
1472,67553.0
1473,67826.0
1474,69051.0
1475,70166.0
1476,69612.0
1477,68848.0
1478,67165.0
1479,66339.0
1480,65073.0
1481,65709.0
1482,68145.0
1483,68250.0
1484,64754.0
1485,61961.0
1486,59506.0
1487,55822.0
1488,52808.0
1489,51632.0
1490,50918.0
1491,51367.0
1492,52555.0
1493,55212.0
1494,61928.0
1495,66027.0
1496,67785.0
1497,68234.0
1498,69620.0
1499,70142.0
1500,70113.0
1501,69519.0
1502,67865.0
1503,67230.0
1504,65943.0
1505,65965.0
1506,68933.0
1507,69186.0
1508,65796.0
1509,62970.0
1510,60556.0
